=== iperf3 server TEST START 2025-11-29 20:58:37 ===
[  5] local 172.17.0.101 port 20000 connected to 172.17.0.103 port 20001
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  61.00-62.00  sec   122 KBytes   996 Kbits/sec  0.041 ms  0/86 (0%)  
[  5]  62.00-63.00  sec   122 KBytes   996 Kbits/sec  0.057 ms  0/86 (0%)  
[  5]  63.00-64.00  sec   123 KBytes  1.01 Mbits/sec  0.031 ms  0/87 (0%)  
[  5]  64.00-65.00  sec   122 KBytes   996 Kbits/sec  0.040 ms  0/86 (0%)  
[  5]  65.00-66.00  sec   122 KBytes   996 Kbits/sec  0.036 ms  0/86 (0%)  
[  5]  66.00-67.00  sec   123 KBytes  1.01 Mbits/sec  0.021 ms  0/87 (0%)  
[  5]  67.00-68.00  sec   122 KBytes   996 Kbits/sec  0.071 ms  0/86 (0%)  
[  5]  68.00-69.00  sec   122 KBytes   996 Kbits/sec  0.096 ms  0/86 (0%)  
[  5]  69.00-70.00  sec   123 KBytes  1.01 Mbits/sec  0.029 ms  0/87 (0%)  
[  5]  70.00-71.00  sec   122 KBytes   996 Kbits/sec  0.064 ms  0/86 (0%)  
[  5]  71.00-72.00  sec   122 KBytes   996 Kbits/sec  0.074 ms  0/86 (0%)  
[  5]  72.00-73.00  sec   123 KBytes  1.01 Mbits/sec  0.056 ms  0/87 (0%)  
[  5]  73.00-74.00  sec   122 KBytes   996 Kbits/sec  0.052 ms  0/86 (0%)  
[  5]  74.00-75.00  sec   122 KBytes   996 Kbits/sec  0.042 ms  0/86 (0%)  
[  5]  75.00-76.00  sec   123 KBytes  1.01 Mbits/sec  0.062 ms  0/87 (0%)  
[  5]  76.00-77.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  77.00-78.00  sec   122 KBytes   996 Kbits/sec  0.036 ms  0/86 (0%)  
[  5]  78.00-79.00  sec   123 KBytes  1.01 Mbits/sec  0.048 ms  0/87 (0%)  
[  5]  79.00-80.00  sec   122 KBytes   996 Kbits/sec  0.043 ms  0/86 (0%)  
[  5]  80.00-81.00  sec   122 KBytes   996 Kbits/sec  0.047 ms  0/86 (0%)  
[  5]  81.00-82.00  sec   122 KBytes   996 Kbits/sec  0.054 ms  0/86 (0%)  
[  5]  82.00-83.00  sec   123 KBytes  1.01 Mbits/sec  0.053 ms  0/87 (0%)  
[  5]  83.00-84.00  sec   122 KBytes   996 Kbits/sec  0.065 ms  0/86 (0%)  
[  5]  84.00-84.04  sec  5.66 KBytes  1.06 Mbits/sec  0.074 ms  0/4 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-84.04  sec  10.0 MBytes  1000 Kbits/sec  0.074 ms  0/7252 (0%)  receiver
iperf3: interrupt - the server has terminated
-----------------------------------------------------------
Server listening on 20000
-----------------------------------------------------------

=== TEST END 2025-11-29 21:00:19 ===
